x,y,leftInches,rightInches,gyro
0.0,0.0,0.0,0.0,-7.690000057220459
0.0,0.0,0.0,0.0,-7.690000057220459
0.0,0.0,0.0,0.0,-7.690000057220459
0.0,0.0,0.0,0.0,-7.690000057220459
0.0,0.0,0.0,0.0,-7.690000057220459
0.0,0.0,0.0,0.0,-7.690000057220459
0.0,0.0,0.0,0.0,-7.690000057220459
0.0,0.0,0.0,0.0,-7.690000057220459
0.0,0.0,0.0,0.0,-7.690000057220459
0.0,0.0,0.0,0.0,-7.690000057220459
0.0,0.0,0.0,0.0,-7.690000057220459
0.0,0.0,0.0,0.0,-7.690000057220459
0.0,0.0,0.0,0.0,-7.690000057220459
0.0,0.0,0.0,0.0,-7.690000057220459
0.0,0.0,0.0,0.0,-7.690000057220459
0.0,0.0,0.0,0.0,-7.699999809265137
0.0,0.0,0.0,0.0,-7.699999809265137
0.0,0.0,0.0,0.0,-7.699999809265137
0.0,0.0,0.0,0.0,-7.699999809265137
0.0,0.0,0.0,0.0,-7.699999809265137
0.0,0.0,0.0,0.0,-7.690000057220459
0.0,0.0,0.0,0.0,-7.690000057220459
0.0,0.0,0.0,0.0,-7.690000057220459
0.0,0.0,0.0,0.0,-7.690000057220459
0.0,0.0,0.0,0.0,-7.690000057220459
0.0,0.0,0.0,0.0,-7.690000057220459
0.0,0.0,0.0,0.0,-7.690000057220459
0.0,0.0,0.0,0.0,-7.699999809265137
0.0,0.0,0.0,0.0,-7.699999809265137
0.0,0.0,0.0,0.0,-7.699999809265137
0.0,0.0,0.0,0.0,-7.690000057220459
0.0,0.0,0.0,0.0,-7.690000057220459
0.0,0.0,0.0,0.0,-7.690000057220459
0.0,0.0,0.0,0.0,-7.690000057220459
0.0,0.0,0.0,0.0,-7.690000057220459
0.0,0.0,0.0,0.0,-7.690000057220459
0.0,0.0,0.0,0.0,-7.690000057220459
0.0,0.0,0.0,0.0,-7.699999809265137
0.0,0.0,0.0,0.0,-7.699999809265137
0.0,0.0,0.0,0.0,-7.699999809265137
0.0,0.0,0.0,0.0,-7.699999809265137
0.0,0.0,0.0,0.0,-7.699999809265137
0.0,0.0,0.0,0.0,-7.699999809265137
0.0,0.0,0.0,0.0,-7.699999809265137
0.0,0.0,0.0,0.0,-7.699999809265137
0.0,0.0,0.0,0.0,-7.699999809265137
0.0,0.0,0.0,0.0,-7.699999809265137
0.0,0.0,0.0,0.0,-7.699999809265137
0.0,0.0,0.0,0.0,-7.699999809265137
0.0,0.0,0.0,0.0,-7.699999809265137
0.0,0.0,0.0,0.0,-7.699999809265137
0.0,0.0,0.0,0.0,-7.699999809265137
-0.033117732218465444,-0.02357268252982144,-0.02032520325203252,-0.06097560975609756,-7.699999809265137
-0.08279433054616361,-0.05893170632455361,-0.02032520325203252,-0.18292682926829268,-7.699999809265137
-0.20698582636540902,-0.147329265811384,-0.12195121951219512,-0.30487804878048774,-7.699999809265137
-0.4522316868088361,-0.3450793084002952,-0.5691056910569106,-0.36585365853658536,-7.639999866485596
-0.679705277911732,-0.5480728796752251,-0.7317073170731707,-0.508130081300813,-7.590000152587891
-1.050085589735268,-0.8655189753539809,-0.8943089430894308,-0.6910569105691057,-7.610000133514404
-1.5587006092978375,-1.2199339235108821,-1.219512195121951,-0.9959349593495934,-7.710000038146973
-2.25197256588633,-1.6248227190691296,-1.5853658536585364,-1.2601626016260161,-7.789999961853027
-3.0277596495194192,-2.027317412659283,-1.8699186991869916,-1.4837398373983737,-7.840000152587891
-4.084055796412068,-2.4232119708686204,-2.195121951219512,-1.808943089430894,-7.960000038146973
-5.1451243522053485,-2.703878347708103,-2.4186991869918697,-2.032520325203252,-8.0600004196167
-6.5177096778005055,-3.037723937441769,-2.6829268292682924,-2.33739837398374,-8.079999923706055
-7.981591296441234,-3.4249395869703148,-3.1097560975609753,-2.74390243902439,-8.0600004196167
-9.691476204696922,-3.91401708560768,-3.4552845528455283,-3.130081300813008,-8.039999961853027
-11.453699563987085,-4.475768749759199,-3.7804878048780486,-3.475609756097561,-8.010000228881836
-13.421281870442566,-5.190852728753729,-4.085365853658536,-3.800813008130081,-7.96999979019165
-15.334922208333756,-6.135607333917087,-4.369918699186991,-4.085365853658536,-7.860000133514404
-17.41795441518044,-7.324377535057547,-4.695121951219512,-4.369918699186991,-7.800000190734863
-19.45998821096647,-8.658145863168672,-4.999999999999999,-4.67479674796748,-7.739999771118164
-21.65475219930851,-10.253648922481457,-5.365853658536585,-4.939024390243902,-7.690000057220459
-23.881041823763375,-11.97646300748474,-5.752032520325203,-5.304878048780488,-7.659999847412109
-26.377977889512685,-13.830079275723133,-6.138211382113821,-5.711382113821139,-7.679999828338623
-28.98775659644849,-15.648634665446249,-6.504065040650406,-6.077235772357723,-7.710000038146973
-31.814322033033918,-17.618252164219847,-6.849593495934959,-6.402439024390244,-7.710000038146973
-34.69402403857763,-19.582412363678465,-7.134146341463415,-6.727642276422764,-7.71999979019165
-37.84543720524292,-21.596110161076403,-7.378048780487804,-7.073170731707317,-7.75
-41.08200633553215,-23.530010986645372,-7.621951219512194,-7.398373983739837,-7.78000020980835
-44.63022221329642,-25.554950058079545,-7.967479674796747,-7.74390243902439,-7.800000190734863
-48.196090906372945,-27.589963453252196,-8.3130081300813,-8.06910569105691,-7.800000190734863
-51.99592327602886,-29.80916406688158,-8.658536585365853,-8.353658536585366,-7.789999961853027
-55.76465067302332,-32.06103780447132,-8.943089430894307,-8.63821138211382,-7.78000020980835
-59.7447970038969,-34.493576993065886,-9.186991869918698,-8.922764227642276,-7.769999980926514
-63.70041995564713,-36.96579437485122,-9.451219512195122,-9.207317073170731,-7.760000228881836
-67.86234060510183,-39.62518874858871,-9.715447154471544,-9.491869918699187,-7.75
-71.90624690818127,-42.443078090491944,-9.979674796747966,-9.756097560975608,-7.710000038146973
-76.07596693954696,-45.53849610705998,-10.243902439024389,-9.999999999999998,-7.679999828338623
-80.15883744215732,-48.6980251871382,-10.467479674796747,-10.243902439024389,-7.659999847412109
-84.23614654595207,-52.26395118887888,-10.691056910569106,-10.467479674796747,-7.599999904632568
-88.22629770119164,-55.89702082048632,-10.914634146341463,-10.711382113821138,-7.579999923706055
-92.32002021333088,-59.77694185996702,-11.138211382113822,-10.934959349593496,-7.559999942779541
-96.32086124831417,-63.72368193226281,-11.361788617886178,-11.158536585365853,-7.539999961853027
-100.55092073789228,-67.813886680486,-11.605691056910569,-11.402439024390244,-7.550000190734863
-104.8069169351974,-71.84760639180196,-11.849593495934958,-11.646341463414634,-7.559999942779541
-109.28173257362265,-76.00456589341209,-12.073170731707316,-11.86991869918699,-7.570000171661377
-113.73421136193927,-80.14077518120386,-12.276422764227641,-12.093495934959348,-7.570000171661377
-118.3073788529777,-84.47510138747059,-12.439024390243901,-12.317073170731707,-7.559999942779541
-122.77852981605508,-88.79842661357178,-12.479674796747966,-12.560975609756097,-7.550000190734863
-127.10618983075712,-93.61283841821201,-12.439024390243901,-12.947154471544714,-7.480000019073486
-130.70491423332535,-99.07932567774004,-12.398373983739836,-13.638211382113822,-7.329999923706055
-132.64674560892314,-105.30804616941997,-12.317073170731707,-13.821138211382113,-7.050000190734863
-128.07287771028942,-110.04584902226007,-12.174796747967479,-14.044715447154472,-5.980000019073486
-121.55991313759957,-111.31870500804044,-12.03252032520325,-14.410569105691055,-5.369999885559082
-115.54825537002971,-108.43696676002737,-11.86991869918699,-14.735772357723576,-4.730000019073486
-118.1864256291082,-102.30344356678488,-11.626016260162602,-15.060975609756095,-3.200000047683716
-124.76380211583977,-100.93865357081548,-11.321138211382115,-15.467479674796747,-2.240000009536743
-129.00936918541765,-106.1312697301097,-10.934959349593496,-15.914634146341463,-1.149999976158142
-122.47083799289405,-104.5047321747321,-10.528455284552845,-16.36178861788618,1.350000023841858
-129.1924849526721,-104.78869123448818,-10.060975609756097,-16.869918699186993,4.289999961853027
-135.9445925482195,-105.0739371177779,-9.573170731707316,-17.398373983739834,4.289999961853027
-138.2504235166148,-98.75378568409373,-9.105691056910569,-17.865853658536583,9.3100004196167
-143.93243725132578,-102.46862790457944,-8.699186991869917,-18.333333333333332,11.109999656677246
-139.1401608979465,-107.23375219977098,-8.292682926829269,-18.80081300813008,12.890000343322754
-145.43400635157516,-104.68957409861827,-7.845528455284552,-19.247967479674795,16.43000030517578
-146.81558872247703,-111.3361192881856,-7.58130081300813,-19.573170731707314,18.18000030517578
-140.01099454483105,-111.57943815850828,-7.235772357723576,-19.959349593495933,19.920000076293945
-140.51222953868756,-104.76858880660083,-6.7073170731707314,-20.569105691056908,21.600000381469727
-140.63642118920612,-111.617056335435,-6.178861788617885,-21.178861788617887,24.649999618530273
-133.90870970281526,-112.90345798944469,-5.691056910569106,-21.70731707317073,26.049999237060547
-131.05925821884085,-106.68586671962775,-5.284552845528455,-22.09349593495935,27.3799991607666
-137.18021892960806,-109.7145207755887,-4.918699186991869,-22.41869918699187,29.84000015258789
-136.77968650800145,-116.53203345930893,-4.532520325203252,-22.784552845528456,31.010000228881836
-130.32360411605865,-118.75866893955502,-4.227642276422764,-23.089430894308943,32.189998626708984
-132.90929188937244,-112.41586594730546,-3.9634146341463414,-23.39430894308943,34.47999954223633
-139.72474995910486,-111.6375440230707,-3.719512195121951,-23.699186991869915,35.54999923706055
-143.9298727422636,-117.00570430424375,-3.434959349593496,-23.922764227642272,36.56999969482422
-137.4972830436945,-119.17529472052284,-3.170731707317073,-24.04471544715447,38.47999954223633
-131.92919754182915,-115.32741092736099,-2.926829268292683,-24.186991869918696,39.40999984741211
-131.546877462874,-108.51903125353017,-2.7235772357723578,-24.45121951219512,40.31999969482422
-138.3724031608383,-108.7450939879048,-2.4999999999999996,-24.79674796747967,41.97999954223633
-143.33723568834333,-113.49338008999123,-2.2764227642276422,-25.121951219512194,42.709999084472656
-144.20947451262856,-120.28721041558548,-2.073170731707317,-25.365853658536583,43.38999938964844
-137.98026987985813,-123.20825960189991,-1.8902439024390243,-25.569105691056908,44.650001525878906
-131.2292434486539,-122.17746013613248,-1.7073170731707317,-25.711382113821138,45.2400016784668
-126.06364813370959,-117.63299715927567,-1.5447154471544713,-25.873983739837396,45.810001373291016
-127.75547471006813,-111.02709636821533,-1.3617886178861789,-26.036585365853657,46.90999984741211
-132.61191051126013,-106.12499057271849,-1.219512195121951,-26.21951219512195,47.439998626708984
-139.1558624288193,-104.17163481553594,-1.0772357723577235,-26.38211382113821,47.939998626708984
-144.62351498802832,-108.41442904298073,-0.975609756097561,-26.524390243902438,48.88999938964844
-147.5905317413665,-114.54292947787663,-0.8739837398373984,-26.585365853658537,49.349998474121094
-147.5965882865443,-121.47382114057056,-0.8739837398373984,-26.60569105691057,49.79999923706055
-144.74240413311102,-127.7116001151989,-0.8536585365853658,-26.727642276422763,50.22999954223633
-138.31637028281287,-130.44112864886466,-0.7723577235772356,-26.910569105691057,50.970001220703125
-131.43671327846346,-131.28232745072177,-0.7317073170731707,-27.09349593495935,51.25
-124.46346358289209,-130.45329386810965,-0.6910569105691057,-27.215447154471544,51.4900016784668
-118.23352535384456,-127.30176936026824,-0.6910569105691057,-27.317073170731707,51.84000015258789
-112.49482097577152,-123.21928790055065,-0.6707317073170731,-27.378048780487806,51.9900016784668
-107.2844589664408,-118.57209898756292,-0.6707317073170731,-27.378048780487806,52.099998474121094
-102.897456001231,-113.06268996380247,-0.6707317073170731,-27.378048780487806,52.27000045776367
-98.94109218436091,-107.31017552141869,-0.6707317073170731,-27.378048780487806,52.34000015258789
-95.29482832842598,-101.26113892552202,-0.6910569105691057,-27.398373983739837,52.400001525878906
-92.17535944703597,-95.00373060753206,-0.6910569105691057,-27.41869918699187,52.47999954223633
-89.21516566319315,-88.59098263122011,-0.6910569105691057,-27.41869918699187,52.5099983215332
-86.29756459566461,-82.27050440996302,-0.6504065040650406,-27.398373983739837,52.5099983215332
-83.06388587528235,-76.24380241870988,-0.24390243902439024,-27.35772357723577,52.45000076293945
-79.35341168256531,-70.48625846970391,-0.08130081300813008,-27.296747967479675,52.369998931884766
-75.39537284551353,-64.97089253724418,-0.06097560975609756,-27.215447154471544,52.31999969482422
-71.91811730283831,-59.330610153278506,0.24390243902439024,-27.073170731707318,52.38999938964844
-68.93048420296415,-53.484773412312656,0.4878048780487805,-26.86991869918699,52.470001220703125
-66.56379989916331,-47.60149510466086,0.7926829268292682,-26.60569105691057,52.560001373291016
-65.25656940639708,-41.54170403574179,1.1991869918699187,-26.280487804878046,52.72999954223633
-64.41100799137142,-35.64675365437467,1.5853658536585364,-25.894308943089428,52.79999923706055
-64.0557491303686,-29.96679591676646,2.154471544715447,-25.447154471544714,52.880001068115234
-64.52928119152504,-24.570867343774164,2.7235772357723578,-24.9390243902439,53.029998779296875
-65.37829414569082,-19.55069038412257,3.3536585365853657,-24.36991869918699,53.11000061035156
-66.58707260677515,-14.961272853498977,4.065040650406504,-23.73983739837398,53.20000076293945
